Time,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
Biomass Energy Production Indicator,25.5854,26.1958,27.0843,28.2292,29.6035,31.1801,32.933,34.8354,36.8587,38.9705,41.1362,43.3195,45.4845,47.5969,49.6256,51.5437,53.3293,54.9656,56.4417,57.7514,58.8937,59.871,60.6894,61.3571,61.8845,62.2829,62.5644,62.7414,62.8261,62.8305,62.7658,62.6427,62.4711,62.2602,62.0182,61.7531,61.4389,61.0739,60.7381,60.4339,60.1632,59.9272,59.7273,59.5373,59.3183,59.123,58.9532,58.8104,58.6955,58.6089,58.5508,58.5208,58.5182,58.5415,58.589,58.6583,58.747,58.8523,58.9713,59.101,59.2383,59.3801,59.5235,59.6653,59.8025,59.9323,60.052,60.1587,60.25,60.3235,60.3769,60.4081,60.4151,60.3961,60.3496,60.2742,60.1685,59.9027,59.5524,59.1657,58.7425
CO2 Radiative Forcing,2.42983,2.47431,2.51985,2.56656,2.61455,2.66411,2.71563,2.76963,2.82653,2.88618,2.94834,3.01273,3.07908,3.14714,3.21666,3.28738,3.35904,3.43141,3.5043,3.57755,3.65096,3.72429,3.79744,3.87014,3.94233,4.01397,4.08504,4.1555,4.22535,4.29456,4.3631,4.43096,4.49812,4.56457,4.63029,4.69528,4.75951,4.82297,4.88565,4.94755,5.00865,5.06896,5.12845,5.18713,5.24498,5.30199,5.35815,5.41346,5.46789,5.52145,5.57412,5.62592,5.67682,5.72684,5.77597,5.82423,5.87161,5.91812,5.96376,6.00855,6.05249,6.09558,6.13783,6.17927,6.21988,6.25968,6.29868,6.33689,6.37432,6.41098,6.44688,6.48202,6.51642,6.55007,6.58298,6.61518,6.64667,6.67745,6.70753,6.73693,6.76564
Coal Production Indicator,144.715,146.979,149.471,152.36,156.09,161.428,169.368,180.663,192.658,203.948,214.698,225.053,235.149,245.099,254.99,264.874,274.779,284.706,294.641,304.552,314.401,324.145,332.549,340.013,347.246,354.221,360.917,367.315,373.4,379.159,384.581,389.654,394.364,398.696,402.626,406.132,409.187,411.764,413.839,415.389,416.394,416.839,416.714,416.015,414.742,412.9,410.5,407.557,404.09,400.12,395.672,390.773,385.457,379.761,373.72,367.371,360.75,353.891,346.83,339.599,332.232,324.759,317.209,309.61,301.988,294.368,286.773,279.224,271.74,264.34,257.039,249.852,242.791,235.867,229.09,222.468,216.007,209.712,203.587,197.634,191.855
Energy Demand Indicator,591.711,636.402,680.362,721.942,760.767,796.866,830.404,861.546,890.463,917.312,942.241,965.39,986.874,1006.81,1025.3,1042.44,1058.32,1073.02,1086.62,1099.18,1110.77,1121.45,1131.26,1140.26,1148.48,1155.97,1162.77,1168.89,1174.39,1179.27,1183.58,1187.32,1190.52,1193.2,1195.39,1197.08,1198.31,1199.08,1199.4,1199.3,1198.77,1197.84,1196.51,1194.8,1192.7,1190.24,1187.42,1184.25,1180.74,1176.89,1172.72,1168.23,1163.43,1158.33,1152.93,1147.25,1141.28,1135.05,1128.55,1121.8,1114.81,1107.57,1100.11,1092.42,1084.53,1076.43,1068.13,1059.65,1050.98,1042.15,1033.15,1024,1014.71,1005.27,995.71,986.023,976.222,966.313,956.305,946.206,936.021
Forest Land Indicator,3960.9,3949.86,3939.16,3929.13,3919.73,3910.93,3902.68,3895.34,3888.88,3883.25,3878.4,3874.23,3870.7,3867.73,3865.27,3863.26,3861.65,3860.4,3859.47,3858.83,3858.46,3858.32,3858.41,3858.72,3859.22,3859.91,3860.78,3861.84,3863.08,3864.49,3866.08,3867.85,3869.82,3871.97,3874.32,3876.85,3879.59,3882.52,3885.65,3888.97,3892.48,3896.18,3900.07,3904.15,3908.41,3912.88,3917.53,3922.38,3927.43,3932.69,3938.14,3943.81,3949.69,3955.78,3962.07,3968.56,3975.24,3982.12,3989.2,3996.48,4003.96,4011.64,4019.53,4027.63,4035.94,4044.47,4053.22,4062.18,4071.36,4080.74,4090.33,4100.13,4110.13,4120.34,4130.78,4141.43,4152.31,4163.39,4174.68,4186.17,4197.84
Gas Production Indicator,169.932,176.75,183.956,191.574,199.723,208.709,218.957,230.872,244.697,260.387,277.273,294.574,311.801,328.61,344.537,358.803,371.482,382.712,392.617,401.311,406.872,411.18,414.94,418.178,420.926,423.213,425.072,426.535,427.636,428.405,428.869,429.055,428.99,428.699,428.209,427.548,426.74,425.813,424.792,423.699,422.555,421.376,420.177,418.969,417.759,416.552,415.347,414.145,412.942,411.731,410.505,409.255,407.971,406.641,405.253,403.797,402.262,400.639,398.917,397.089,395.147,393.086,390.899,388.584,386.138,383.558,380.844,377.997,375.017,371.907,368.67,365.311,361.833,358.243,354.546,350.747,346.855,342.875,338.816,334.684,330.488
GWP per Capita Indicator,11.962,12.8481,13.7426,14.6476,15.5626,16.4888,17.4299,18.3822,19.3518,20.334,21.3366,22.3542,23.3838,24.4271,25.4788,26.5438,27.6148,28.6933,29.7814,30.8789,31.9874,33.1029,34.2286,35.3659,36.5188,37.683,38.8575,40.0473,41.2526,42.478,43.7184,44.9745,46.2529,47.5545,48.8788,50.2231,51.5886,52.9821,54.4065,55.8565,57.3321,58.8363,60.3736,61.9403,63.5376,65.1667,66.8289,68.5254,70.2577,72.027,73.8348,75.6689,77.5452,79.4654,81.4311,83.4438,85.5054,87.6176,89.7822,92.001,94.276,96.6089,99.0017,101.456,103.975,106.56,109.214,111.939,114.737,117.61,120.562,123.595,126.712,129.916,133.209,136.594,140.074,143.653,147.332,151.115,155.006
Livestock Production Indicator,330.822,340.148,349.044,357.8,366.32,374.649,382.168,388.803,395.185,400.62,405.848,410.669,415.288,419.845,424.22,428.527,432.611,436.536,440.345,444.012,447.546,450.858,454.02,457.045,459.975,462.705,465.213,467.589,469.816,471.916,473.77,475.384,476.856,478.167,479.306,480.237,480.978,481.621,482.155,482.502,482.655,482.618,482.511,482.195,481.662,480.934,480.123,479.11,477.878,476.444,474.864,473.05,471.05,468.926,466.708,464.343,461.817,459.171,456.403,453.472,450.389,447.207,443.887,440.386,436.737,432.979,429.111,425.152,421.112,417.005,412.821,408.519,404.058,399.443,394.701,389.867,384.976,380.05,375.119,370.152,365.111
Nonenergy Crops Production Indicator,4221.88,4340.87,4447.17,4556,4663.65,4770.32,4860.02,4934.2,5007.46,5076.72,5144.43,5209.13,5271.15,5331.78,5389.51,5446.13,5499.56,5550.79,5600.33,5647.81,5693.16,5735.52,5775.74,5814,5850.85,5885.03,5916.28,5945.68,5972.98,5998.61,6021.25,6040.97,6059.05,6075.17,6089.12,6100.32,6108.95,6116.15,6121.86,6125.1,6125.77,6124.02,6121.53,6116.6,6109.16,6099.44,6088.86,6075.9,6060.56,6043.1,6024.37,6003.3,5980.09,5955.22,5929.06,5901,5871.01,5839.59,5806.71,5772.04,5735.66,5698.09,5659.01,5618.24,5576,5532.6,5487.89,5441.96,5394.91,5346.89,5297.83,5247.63,5196.2,5143.6,5089.97,5035.56,4980.6,4925.02,4868.96,4812.35,4755.17
Oil Production Indicator,196.975,200.58,204.954,209.692,215.106,221.541,229.22,238.128,246.976,254.586,260.995,266.266,270.479,273.725,276.1,277.703,278.633,278.985,278.852,278.321,277.469,276.371,275.019,273.008,271.041,269.128,267.271,265.472,263.726,262.032,260.384,258.779,257.218,255.702,254.235,252.823,251.473,250.193,248.989,247.869,246.837,245.897,245.05,244.298,243.639,243.07,242.587,242.136,241.6,241.139,240.747,240.417,240.143,239.916,239.727,239.566,239.425,239.295,239.165,239.027,238.872,238.693,238.48,238.228,237.928,237.576,237.165,236.69,236.147,235.533,234.794,233.796,232.706,231.525,230.253,228.892,227.444,225.911,224.297,222.605,220.839
Pasture Land Indicator,3289,3277.03,3266.73,3257.23,3248.3,3239.88,3231.97,3224.32,3216.94,3209.87,3203.13,3196.76,3190.76,3185.15,3179.92,3175.05,3170.53,3166.33,3162.42,3158.77,3155.36,3152.16,3149.13,3146.25,3143.5,3140.85,3138.29,3135.78,3133.33,3130.9,3128.49,3126.08,3123.66,3121.21,3118.73,3116.22,3113.65,3111.04,3108.37,3105.65,3102.88,3100,3097,3093.87,3090.61,3087.22,3083.69,3080.02,3076.23,3072.28,3068.2,3063.97,3059.6,3055.08,3050.43,3045.64,3040.71,3035.65,3030.45,3025.11,3019.64,3014.02,3008.26,3002.36,2996.31,2990.11,2983.76,2977.26,2970.62,2963.83,2956.9,2949.83,2942.62,2935.26,2927.75,2920.09,2912.27,2904.31,2896.22,2887.98,2879.62
Solar Energy Production Indicator,3.6625,4.0224,4.43277,4.8954,5.41079,5.97885,6.5991,7.27051,7.99112,8.75775,9.56589,10.4098,11.2827,12.177,13.0846,13.9973,14.9071,15.8066,16.6888,17.548,18.3793,19.179,19.9445,20.674,21.367,22.0236,22.6448,23.232,23.7874,24.3135,24.8132,25.2894,25.7453,26.1842,26.6096,27.0247,27.4331,27.8382,28.2433,28.6519,29.0673,29.4928,29.9315,30.3867,30.8611,31.3577,31.8792,32.4282,33.0073,33.6187,34.2648,34.6282,35.0784,35.6085,36.2119,36.8825,37.6146,38.4026,39.2411,40.125,41.0491,42.0084,42.9978,44.0123,45.0469,46.0966,47.1564,48.2212,49.2861,50.346,51.396,52.4311,53.4465,54.4376,55.3998,56.3286,57.2198,58.0694,58.8737,59.6291,60.3326
Total CO2 Emissions Indicator,53100.3,54316,55656.5,57110.3,58743.6,60669.2,63008.1,65846.8,68860.7,71816.2,74698.5,77462.6,80109.5,82638.6,85031.9,87257.7,89323,91242.3,93027.5,94687,96115.3,97417.2,98517.4,99427.5,100270,101043,101748,102390,102969,103488,103946,104345,104688,104976,105210,105390,105512,105578,105598,105570,105493,105368,105198,104975,104696,104368,103995,103572,103091,102567,102001,101392,100745,100064,99350.1,98605.3,97830.5,97028.3,96200.6,95347.8,94471.8,93575.5,92659.3,91723.7,90771,89803.3,88822.1,87829,86825.5,85813.2,84789.3,83744.2,82690.6,81629.5,80562.7,79492,78419.2,77328.6,76232,75135.8,74040.1
Total Croplands Indicator,1608.7,1602.84,1597.81,1593.16,1588.79,1584.67,1580.8,1577.06,1573.45,1569.99,1566.7,1563.58,1560.65,1557.9,1555.34,1552.96,1550.75,1548.7,1546.78,1545,1543.34,1541.77,1540.29,1538.88,1537.53,1536.24,1534.98,1533.76,1532.56,1531.37,1530.19,1529.01,1527.83,1526.63,1525.42,1524.19,1522.93,1521.65,1520.35,1519.02,1517.66,1516.26,1514.79,1513.26,1511.66,1510,1508.28,1506.49,1504.63,1502.7,1500.7,1498.63,1496.5,1494.29,1492.01,1489.67,1487.26,1484.78,1482.24,1479.63,1476.95,1474.2,1471.38,1468.5,1465.54,1462.51,1459.4,1456.22,1452.97,1449.65,1446.26,1442.81,1439.28,1435.68,1432,1428.26,1424.44,1420.54,1416.58,1412.55,1408.46
Total Population Indicator,7571.26,7658.18,7741.88,7822.5,7900.18,7975.03,8047.12,8116.42,8182.98,8246.83,8308.01,8366.54,8422.46,8475.78,8526.52,8574.71,8620.36,8663.49,8704.1,8742.2,8777.81,8810.92,8841.53,8869.65,8895.29,8918.45,8939.12,8957.31,8973.02,8986.26,8997.02,9005.31,9011.13,9014.49,9015.41,9013.87,9009.9,9003.51,8994.7,8983.5,8969.93,8953.98,8935.69,8915.09,8892.19,8867.02,8839.61,8810,8778.2,8744.25,8708.2,8670.07,8629.89,8587.7,8543.53,8497.44,8449.47,8399.67,8348.08,8294.77,8239.78,8183.17,8124.99,8065.3,8004.15,7941.6,7877.71,7812.53,7746.13,7678.55,7609.86,7540.11,7469.37,7397.67,7325.09,7251.67,7177.48,7102.57,7026.98,6950.79,6874.03
Total Primary Education Graduates Indicator,940.089,950.251,959.906,969.145,977.998,986.462,994.519,1002.13,1009.27,1015.92,1022.06,1027.68,1032.75,1037.28,1041.26,1044.68,1047.55,1049.85,1051.61,1052.81,1053.47,1053.59,1053.17,1052.23,1050.78,1048.81,1046.34,1043.39,1039.95,1036.04,1031.66,1026.83,1021.56,1015.85,1009.72,1003.18,996.224,988.878,981.147,973.043,964.574,955.752,946.587,937.091,927.275,917.148,906.724,896.014,885.03,873.783,862.286,850.551,838.588,826.411,814.031,801.463,788.719,775.813,762.759,749.571,736.261,722.844,709.333,695.742,682.084,668.372,654.62,640.84,627.046,613.249,599.462,585.697,571.965,558.278,544.646,531.08,517.591,504.189,490.883,477.682,464.595
Total Secondary Education Graduates Indicator,2787.16,2841.56,2894.5,2946.12,2996.51,3045.72,3093.73,3140.48,3185.91,3229.98,3272.6,3313.71,3353.23,3391.1,3427.25,3461.63,3494.19,3524.89,3553.7,3580.6,3605.57,3628.59,3649.66,3668.79,3685.98,3701.24,3714.58,3726.01,3735.57,3743.26,3749.12,3753.16,3755.42,3755.91,3754.67,3751.72,3747.11,3740.84,3732.97,3723.52,3712.53,3700.02,3686.04,3670.62,3653.79,3635.6,3616.07,3595.26,3573.2,3549.92,3525.48,3499.9,3473.23,3445.51,3416.77,3387.07,3356.44,3324.93,3292.6,3259.47,3225.61,3191.04,3155.83,3120.01,3083.64,3046.74,3009.37,2971.57,2933.38,2894.85,2856,2816.89,2777.56,2738.03,2698.34,2658.54,2618.66,2578.72,2538.77,2498.83,2458.94
Total Tertiary Education Graduates Indicator,737.551,777.978,820.137,864.09,909.851,957.398,1006.68,1057.63,1110.17,1164.21,1219.66,1276.43,1334.41,1393.49,1453.58,1514.55,1576.3,1638.71,1701.66,1765.03,1828.71,1892.57,1956.52,2020.42,2084.18,2147.68,2210.82,2273.5,2335.63,2397.11,2457.86,2517.79,2576.82,2634.89,2691.92,2747.84,2802.6,2856.14,2908.4,2959.33,3008.89,3057.03,3103.71,3148.9,3192.56,3234.65,3275.16,3314.06,3351.32,3386.92,3420.85,3453.08,3483.6,3512.41,3539.48,3564.81,3588.41,3610.27,3630.4,3648.79,3665.46,3680.41,3693.67,3705.23,3715.11,3723.34,3729.93,3734.91,3738.29,3740.1,3740.36,3739.11,3736.37,3732.16,3726.53,3719.5,3711.1,3701.38,3690.36,3678.07,3664.56
Wind Energy Production Indicator,1.2284,2.25817,3.26684,4.23441,5.15196,6.0157,6.82477,7.5802,8.28413,8.93934,9.54893,10.1161,10.644,11.1357,11.5941,12.0218,12.4214,12.7954,13.1461,13.4757,13.7867,14.0812,14.3615,14.6299,14.8886,15.1399,15.3861,15.6292,15.8715,16.1151,16.3618,16.6135,16.8722,17.1396,17.4172,17.7067,18.0096,18.3275,18.662,19.0143,19.3862,19.7789,20.1941,20.633,21.097,21.5876,22.1059,22.6532,23.2307,23.8393,24.48,24.7066,25.0303,25.4426,25.936,26.5045,27.1425,27.8455,28.6096,29.4312,30.3076,31.2361,32.2143,33.2402,34.3119,35.4275,36.5853,37.7836,39.0205,40.2944,41.6032,42.9451,44.3178,45.7192,47.1469,48.5982,50.0704,51.5607,53.066,54.583,56.1085
